Date,Close
2016-03-09,7.58
2016-03-10,7.67
2016-03-11,7.43
2016-03-12,7.47
2016-03-13,7.67
2016-03-14,7.59
2016-03-15,7.49
2016-03-16,7.4
2016-03-17,7.35
2016-03-18,7.51
2016-03-19,7.34
2016-03-20,6.84
2016-03-21,6.23
2016-03-22,5.9
2016-03-23,5.94
2016-03-24,5.74
2016-03-25,6.04
2016-03-26,6.02
2016-03-27,6.05
2016-03-28,6.16
2016-03-29,6.17
2016-03-30,6.29
2016-03-31,6.37
2016-04-01,6.55
2016-04-02,6.32
2016-04-03,6.54
2016-04-04,6.59
2016-04-05,6.67
2016-04-06,6.91
2016-04-07,6.95
2016-04-08,6.97
2016-04-09,6.78
2016-04-10,6.96
2016-04-11,6.75
2016-04-12,6.84
2016-04-13,6.5
2016-04-14,6.62
2016-04-15,6.49
2016-04-16,6.75
2016-04-17,6.67
2016-04-18,6.73
2016-04-19,6.77
2016-04-20,6.96
2016-04-21,6.52
2016-04-22,7.01
2016-04-23,7.5
2016-04-24,7.29
2016-04-25,7.11
2016-04-26,7.2
2016-04-27,7.23
2016-04-28,7.09
2016-04-29,6.76
2016-04-30,6.7
2016-05-01,6.56
2016-05-02,6.96
2016-05-03,7
2016-05-04,6.94
2016-05-05,6.3
2016-05-06,6.69
2016-05-07,6.79
2016-05-08,6.97
2016-05-09,7.67
2016-05-10,8.46
2016-05-11,8.71
2016-05-12,8.94
2016-05-13,8.69
2016-05-14,8.8
2016-05-15,8.77
2016-05-16,8.83
2016-05-17,8.93
2016-05-18,8.91
2016-05-19,8.39
2016-05-20,8.53
2016-05-21,8.68
2016-05-22,9.45
2016-05-23,9.56
2016-05-24,10.34
2016-05-25,10.34
2016-05-26,10.68
2016-05-27,10.54
2016-05-28,10.55
2016-05-29,10.86
2016-05-30,10.66
2016-05-31,10.95
2016-06-01,11.51
2016-06-02,11.47
2016-06-03,11.6
2016-06-04,11.58
2016-06-05,12.07
2016-06-06,11.55
2016-06-07,11.59
2016-06-08,11.34
2016-06-09,11.43
2016-06-10,11.43
2016-06-11,11.24
2016-06-12,11.32
2016-06-13,11.49
2016-06-14,11.44
2016-06-15,11.2
2016-06-16,10.76
2016-06-17,10.58
2016-06-18,9.82
2016-06-19,9.88
2016-06-20,9.77
2016-06-21,9.75
2016-06-22,9.91
2016-06-23,10.44
2016-06-24,10.35
2016-06-25,10.52
2016-06-26,10.67
2016-06-27,10.61
2016-06-28,10.37
2016-06-29,12.06
2016-06-30,12.28
2016-07-01,12.24
2016-07-02,13.63
2016-07-03,13.29
2016-07-04,13.56
2016-07-05,13.42
2016-07-06,13.58
2016-07-07,13.49
2016-07-08,13.26
2016-07-09,13.3
2016-07-10,12.97
2016-07-11,13.13
2016-07-12,14
2016-07-13,14.28
2016-07-14,14.32
2016-07-15,14.12
2016-07-16,15.2
2016-07-17,14.46
2016-07-18,14.96
2016-07-19,13.9
2016-07-20,13.03
2016-07-21,13.04
2016-07-22,13.05
2016-07-23,13.22
2016-07-24,13.33
2016-07-25,13.91
2016-07-26,14.28
2016-07-27,14.1
2016-07-28,13.98
2016-07-29,13.65
2016-07-30,13.49
2016-07-31,14.4
2016-08-01,13.82
2016-08-02,14.1
2016-08-03,13.79
2016-08-04,13.7
2016-08-05,13.7
2016-08-06,13.69
2016-08-07,13.71
2016-08-08,14.05
2016-08-09,14.55
2016-08-10,14.64
2016-08-11,14.16
2016-08-12,14.17
2016-08-13,13.27
2016-08-14,13.52
2016-08-15,13.1
2016-08-16,13.1
2016-08-17,12.76
2016-08-18,12.31
2016-08-19,12.79
2016-08-20,12.95
2016-08-21,12.84
2016-08-22,13.11
2016-08-23,13
2016-08-24,13.13
2016-08-25,13.49
2016-08-26,13.41
2016-08-27,13.62
2016-08-28,13.3
2016-08-29,13.62
2016-08-30,10.32
2016-08-31,10.39
2016-09-01,10.1
2016-09-02,10.19
2016-09-03,10.04
2016-09-04,10.18
2016-09-05,10.79
2016-09-06,11.07
2016-09-07,11.26
2016-09-08,11.42
2016-09-09,12.75
2016-09-10,11.2
2016-09-11,11.28
2016-09-12,11.41
2016-09-13,11.04
2016-09-14,10.89
2016-09-15,10.89
2016-09-16,10.98
2016-09-17,11
2016-09-18,11.12
2016-09-19,11.19
2016-09-20,10.93
2016-09-21,10.9
2016-09-22,11.24
2016-09-23,12.03
2016-09-24,12.38
2016-09-25,12.9
2016-09-26,12.28
2016-09-27,12.09
2016-09-28,11.96
2016-09-29,11.77
2016-09-30,11.5
2016-10-01,11.44
2016-10-02,11.93
2016-10-03,12.64
2016-10-04,13.98
2016-10-05,14.38
2016-10-06,14.17
2016-10-07,14.08
2016-10-08,13.4
2016-10-09,13.23
2016-10-10,12.6
2016-10-11,12.48
2016-10-12,12.15
2016-10-13,13.19
2016-10-14,13.02
2016-10-15,13.36
2016-10-16,13.81
2016-10-17,13.89
2016-10-18,14.29
2016-10-19,13.53
2016-10-20,13.92
2016-10-21,13.8
2016-10-22,13.48
2016-10-23,13.55
2016-10-24,13.8
2016-10-25,13.88
2016-10-26,14.16
